GVKEY,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,cik
001000,LU,25881,23369,1970-11-13,1978-06-30,
001001,LU,10015,6398,1983-09-20,1986-07-31,0000723576
001002,LC,10023,22159,1972-12-14,1973-06-05,0001306124
001003,LU,10031,6672,1983-12-07,1989-08-16,0000730052
001004,LU,54594,20000,1972-04-24,E,0000001750
001005,LU,61903,11,1973-01-31,1983-01-31,
001007,LU,10058,20,1979-01-31,1984-09-28,0000001882
001007,LU,10058,20,1973-10-01,1979-01-30,0000001882
001008,LC,10066,6331,1983-08-25,1987-02-26,
001009,LC,10074,5271,1982-01-18,1996-03-13,0000313368
001010,LU,10006,22156,1962-01-31,1984-06-28,0000910627
001010,LU,10006,22156,1950-05-01,1962-01-30,0000910627
001011,LC,10082,5793,1983-03-21,1995-09-28,0000702511
001012,LU,10103,52,1978-01-31,1989-12-29,0000002134
001013,LU,50906,2902,1979-03-16,2010-12-31,0000061478
001015,LU,66405,5204,1982-01-29,1986-10-31,0000354609
001016,LC,10146,314,1977-11-30,1988-04-26,0000317539
001016,LC,10146,314,1973-11-01,1977-11-29,0000317539
001017,LC,10154,81,1972-12-14,1996-02-29,0000004911
001018,LU,10162,88,1979-01-31,1981-03-04,0000002638
001018,LU,10162,88,1973-07-01,1979-01-30,0000002638
001019,LC,10189,93,1972-12-14,1988-02-09,0000002668
001020,LC,68806,100,1972-12-14,1988-04-05,0000007668
001021,LU,10218,109,1980-10-14,1999-03-19,0000319126
001022,LU,10234,118,1976-08-31,1983-07-28,0000002801
001022,LU,10234,118,1973-07-01,1976-08-30,0000002801
001023,LU,66755,5542,1982-06-09,1988-10-05,0000002844
001024,LU,10269,6202,1983-07-21,1984-09-28,0001749211
001025,LU,47351,306,1973-01-31,1985-03-19,0000002880
001026,LU,10277,134,1972-12-14,1978-05-31,0000002886
001027,LU,28601,23555,1966-01-31,1971-05-28,
001028,LU,10285,5148,1981-10-29,1992-01-31,0000354173
001029,LU,10293,6069,1983-06-15,1985-10-31,
001030,LU,10306,145,1973-01-31,1974-10-16,
001031,LU,10014,22157,1960-04-01,1966-01-30,
001031,LU,10014,22157,1966-01-31,1977-03-31,
001034,LC,65832,20007,1984-02-15,2008-12-29,0000730469
001036,LC,65453,20008,1983-12-06,2001-05-31,0000029590
001037,LU,10314,255,1980-10-07,1988-08-25,0000318580
001038,LU,66413,6301,1983-08-18,2004-12-31,
001039,LC,50526,25132,1970-04-29,1979-11-30,0000001857
001040,LU,15763,22631,1950-01-01,1962-01-30,0000006091
001040,LU,15763,22631,1962-01-31,1985-10-31,0000006091
001042,LU,10365,5554,1982-06-21,1985-06-28,0000355713
001043,LC,80071,30061,1993-12-06,2000-01-27,0000002310
001043,LC,18980,20009,1949-08-01,1962-01-30,0000002310
001043,LC,18980,20009,1984-05-10,1993-05-19,0000002310
001043,LC,18980,20009,1962-01-31,1982-04-27,0000002310
001044,LU,37591,21816,1968-01-31,1970-06-30,0000006143
001045,LC,21020,20010,2013-12-09,E,0000006201
001045,LC,21020,20010,1962-01-31,2012-01-04,0000006201
001045,LC,21020,20010,1950-01-01,1962-01-30,0000006201
001046,LU,10373,7023,1984-05-11,1985-05-31,
001047,LU,10381,3182,1981-08-12,1983-05-31,0000352979
001049,LU,10400,304,1976-01-30,1982-05-26,
001050,LC,11499,176,1980-11-28,E,0000003197
001051,LC,41961,24580,1968-01-02,1968-12-31,0000006837
001052,LU,10402,311,1973-04-01,1979-01-30,0000006839
001052,LU,10402,311,1979-01-31,1983-03-31,0000006839
001054,LU,10429,5118,1981-10-01,1994-09-30,0000354797
001055,LU,85041,7357,1984-12-20,1997-08-29,0000725182
001056,LC,62500,336,1973-07-01,1977-06-29,0000002601
001056,LC,62500,336,1977-06-30,2007-08-15,0000002601
001057,LC,10030,22160,1967-01-31,1967-12-29,0000001866
001057,LC,10030,22160,1964-01-01,1967-01-30,0000001866
001058,LU,28636,23557,1962-07-02,1986-10-30,0000006841
001059,LU,58958,25619,1972-12-14,1981-03-31,
001061,LU,10445,340,1973-04-01,1979-01-30,0000007202
001061,LU,10445,340,1979-01-31,1980-10-31,0000007202
001062,LU,26649,20015,1965-01-29,E,0001230869
001065,LU,71239,5894,1983-04-04,1991-07-19,0000008076
001066,LC,55335,1911,1984-01-31,1986-12-04,0000042211
001067,LC,28652,23559,1962-07-02,1966-01-30,0000929245
001067,LC,28652,23559,1966-01-31,1984-01-30,0000929245
001069,LU,10480,6509,1983-10-18,1984-10-16,0000724768
001070,LC,21549,23079,1968-01-01,1968-01-30,0000008789
001070,LC,21549,23079,1968-01-31,1981-04-30,0000008789
001072,LC,56899,25544,1973-01-01,1973-03-29,0000859163
001072,LC,81912,30930,1995-08-15,2020-03-27,0000859163
001072,LC,56899,25544,1973-03-30,1990-01-18,0000859163
001073,LU,10496,422,1981-03-09,1996-08-28,0000319037
001074,LU,49648,25078,1969-12-04,1982-12-31,0000007237
001075,LU,27991,21409,1962-01-31,E,0000764622
001076,LC,78049,5674,2010-12-01,2010-12-10,0001808834
001076,LC,10517,5674,1982-11-04,1992-12-31,0001808834
001076,LC,78049,5674,1993-01-01,2010-11-30,0001808834
001076,LC,78049,5674,1992-11-03,1992-12-31,0001808834
001076,LC,10517,5674,1993-01-01,2010-11-30,0001808834
001076,LC,10517,5674,2010-12-01,E,0001808834
001077,LU,10525,346,1979-01-31,1980-09-30,
001077,LU,10525,346,1973-07-01,1979-01-30,
001078,LC,20482,20017,1950-01-01,1962-01-30,0000001800
001078,LC,20482,20017,1962-01-31,E,0000001800
001079,LC,10541,349,1961-01-01,1969-01-30,0000007522
001079,LC,10541,349,1969-01-31,1976-09-30,0000007522
001080,LU,28660,23561,1963-12-31,1976-04-30,
001080,LU,28660,23561,1962-10-01,1963-12-30,
001081,LC,10560,20019,1987-07-16,2007-10-26,0001039778
001082,LC,10568,5580,1982-06-29,2011-08-31,0000001923
001083,LC,44231,4531,1981-08-31,1988-04-06,0000098707
001083,LC,44231,4531,1977-12-30,1980-01-31,0000098707
001086,LU,76876,10835,1991-06-28,1994-02-23,0000001969
001087,LU,10584,30,1981-03-03,1983-11-30,0000320029
001088,LC,10592,149,1978-09-21,1986-02-05,0000215005
001089,LC,10613,22208,1972-12-14,1979-11-30,
001091,LU,64688,5803,1983-02-11,1987-07-31,
001092,LU,10621,34,1981-08-13,1983-04-29,
001093,LC,10640,50,1972-12-14,1987-03-31,0000050346
001094,LC,10656,37,1972-12-14,2019-10-02,0000002034
001095,LC,10123,9754,1989-09-07,2002-06-14,0000319120
001097,LC,11647,47,1994-10-01,2004-12-03,0000002062
001097,LC,10664,47,1972-12-14,1994-09-30,0000002062
001097,LC,11647,47,1987-09-30,1994-09-30,0000002062
001097,LC,10664,47,1994-10-01,1995-09-01,0000002062
001098,LC,10057,20020,1968-01-01,1996-07-02,0000869676
001099,LC,63837,156,1972-12-14,2000-11-30,0000002070
001100,LC,10672,46,1972-12-14,1985-06-28,0000002075
001101,LU,28679,23562,1973-01-31,1978-01-31,
001103,LU,28695,23564,1966-01-31,1988-07-13,
001104,LU,60038,370,1972-12-14,E,0000002098
001106,LU,10699,5193,1982-01-28,1986-10-31,0000079397
001108,LC,51510,20021,1970-11-11,1996-10-18,0000002145
001109,LC,85084,7338,1986-09-22,2009-04-24,0000747435
001109,LC,85084,7338,1984-12-12,1985-12-26,0000747435
001111,LC,10701,6060,1983-06-09,1985-05-30,
001111,LC,79678,12499,1993-10-22,2008-07-09,
001111,LC,10701,6060,1985-05-31,1991-03-28,
001112,LU,10720,6611,1983-11-22,1989-07-31,0000730066
001113,LC,43967,20022,1966-11-22,1988-04-29,
001114,LC,10728,53,1972-12-14,1976-05-28,0000002166
001115,LU,10752,58,1979-12-05,2000-12-29,0000313798
001117,LC,10779,65,1978-10-03,2003-05-07,0000002186
001117,LC,10779,65,2005-10-14,E,0000002186
001118,LU,57306,25563,1972-12-20,1984-11-30,
001119,LU,10065,20023,1982-01-29,E,0000002230
001119,LU,10065,20023,1982-01-01,1982-01-28,0000002230
001120,LU,17224,22757,1962-01-31,1988-10-31,
001120,LU,17224,22757,1950-01-01,1962-01-30,
001121,LU,61487,59,1975-02-07,E,0000002178
001122,LC,47650,24955,1969-02-05,1987-12-31,
001123,LU,85105,7521,1985-04-29,1986-12-19,0000742808
001124,LU,10787,73,1972-12-14,1988-03-24,
001125,LU,10795,7002,1984-04-26,1985-08-30,0000730347
001126,LU,10808,62,1978-01-31,1990-06-19,0000002308
001126,LU,10808,62,1973-06-01,1978-01-30,0000002308
001128,LU,85113,7245,1984-10-02,1995-01-31,0000752200
001129,LU,10816,5232,1981-12-10,1983-08-31,0000355565
001130,LU,10824,7087,1984-06-15,1987-06-10,0000714420
001131,LU,10832,22229,1972-12-14,1973-07-31,0000002369
