or_name,ee_name,deal_date,n_patents,seller_cik,buyer_cik,deal_id,filer_cik,sec_start,sec_end
A9COM INC,AMAZON TECHNOLOGIES INC,2020-04-22,30,,1321834.0,0,1321834.0,2020-01-23,2020-07-21
ABBOTT LABORATORIES,ABBOTT DIABETES CARE INC,2014-08-18,36,1800.0,,1,1800.0,2014-05-20,2014-11-16
ABBOTT LABORATORIES,ABBVIE INC,2012-08-01,140,1800.0,1551152.0,2,1800.0,2012-05-03,2012-10-30
ACTIVESEMI INTERNATIONAL INC,ACTIVESEMI INC,2009-05-01,43,105319.0,,3,105319.0,2009-01-31,2009-07-30
ADEST MEIR,SOLAREDGE TECHNOLOGIES LTD,2020-07-29,20,,1419612.0,4,1419612.0,2020-04-30,2020-10-27
ADVANCED LIGHTING TECHNOLOGIES INC,PNC BANK NATIONAL ASSOCIATION AS AGENT,1999-05-21,27,1321834.0,,5,1321834.0,1999-02-20,1999-08-19
ADVANCED MICRO DEVICES INC,SPANSION INC,2007-01-31,34,2488.0,,6,2488.0,2006-11-02,2007-05-01
AERAS,INTERNATIONAL AIDS VACCINE INITIATIVE INC,2018-10-01,22,,105319.0,7,105319.0,2018-07-03,2018-12-30
AETHER SYSTEMS INC,TSYS ACQUISITION CORP,2004-01-13,25,,1998781.0,8,1998781.0,2003-10-15,2004-04-12
AGARWAL ATUL,ACHILLION PHARMACEUTICALS INC,2016-03-11,26,,1691082.0,9,1691082.0,2015-12-12,2016-06-09
AGGARWAL AMIT,GROUPON INC,2014-01-30,25,,1490281.0,10,1490281.0,2013-11-01,2014-04-30
AGILENT TECHNOLOGIES INC,AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD,2005-12-01,27,1090872.0,,11,1090872.0,2005-09-02,2006-03-01
AHN JOONKUI,LG ELECTRONICS INC,2013-02-28,27,,2058873.0,12,2058873.0,2012-11-30,2013-05-29
AIR PRODUCTS AND CHEMICALS INC,EVONIK DEGUSSA GMBH,2017-01-03,47,2969.0,,13,2969.0,2016-10-05,2017-04-03
AKANA JODY,APPLE INC,2014-12-10,21,,320193.0,14,320193.0,2014-09-11,2015-03-10
AKANA JODY,APPLE INC,2015-01-21,33,,320193.0,15,320193.0,2014-10-23,2015-04-21
AKANA JODY,APPLE INC,2020-06-29,20,,320193.0,16,320193.0,2020-03-31,2020-09-27
AKRION INC,AKRION TECHNOLOGIES INC,2005-01-25,24,,1964979.0,17,1964979.0,2004-10-27,2005-04-25
ALCES TECHNOLOGY INC,MANTISVISION LTD,2018-04-06,29,1779474.0,,18,1779474.0,2018-01-06,2018-07-05
ALDEN DON,PELIKAN TECHNOLOGIES INC,2003-02-13,21,,1321834.0,19,1321834.0,2002-11-15,2003-05-14
ALETTY ASHOK,BEA SYSTEMS INC,2005-07-25,25,,1352010.0,20,1352010.0,2005-04-26,2005-10-23
ALEXANDROV NICKOLAI,CERES INC,2006-05-03,23,,14707.0,21,14707.0,2006-02-02,2006-08-01
ALHUSSIEN ABDELHAKIM S,MICRON TECHNOLOGY INC,2020-08-11,26,,723125.0,22,723125.0,2020-05-13,2020-11-09
ALIBABA GROUP HOLDING LIMITED,ADVANTAGEOUS NEW TECHNOLOGIES CO LTD,2020-08-26,298,1577552.0,,23,1577552.0,2020-05-28,2020-11-24
ALNYLAM PHARMACEUTICALS INC,TEKMIRA PHARMACEUTICALS CORPORATION,2012-12-05,38,1178670.0,,24,1178670.0,2012-09-06,2013-03-05
ALTUS TECHNOLOGY INC,HON HAI PRECISION INDUSTRY CO LTD,2012-09-28,22,1962746.0,,25,1962746.0,2012-06-30,2012-12-27
ALVEOLUS INC,MERIT MEDICAL SYSTEMS INC,2009-03-10,30,,856982.0,26,856982.0,2008-12-10,2009-06-08
