or_name,ee_name,deal_date,n_patents,seller_cik,buyer_cik,deal_id,filer_cik,sec_start,sec_end,any_sec_exhibit,any_sec_price,any_patent_asset_sale
A9COM INC,AMAZON TECHNOLOGIES INC,2020-04-22,30,nan,1321834,0,1321834,2020-01-23,2020-07-21,0,0,0
ABBOTT LABORATORIES,ABBOTT DIABETES CARE INC,2014-08-18,36,1800,nan,1,1800,2014-05-20,2014-11-16,0,0,0
ABBOTT LABORATORIES,ABBVIE INC,2012-08-01,140,1800,1551152,2,1800,2012-05-03,2012-10-30,2,1,1
ACTIVESEMI INTERNATIONAL INC,ACTIVESEMI INC,2009-05-01,43,105319,nan,3,105319,2009-01-31,2009-07-30,0,0,0
ADEST MEIR,SOLAREDGE TECHNOLOGIES LTD,2020-07-29,20,nan,1419612,4,1419612,2020-04-30,2020-10-27,0,0,0
ADVANCED LIGHTING TECHNOLOGIES INC,PNC BANK NATIONAL ASSOCIATION AS AGENT,1999-05-21,27,1321834,nan,5,1321834,1999-02-20,1999-08-19,0,0,0
ADVANCED MICRO DEVICES INC,SPANSION INC,2007-01-31,34,2488,nan,6,2488,2006-11-02,2007-05-01,0,0,0
AERAS,INTERNATIONAL AIDS VACCINE INITIATIVE INC,2018-10-01,22,nan,105319,7,105319,2018-07-03,2018-12-30,0,0,0
AETHER SYSTEMS INC,TSYS ACQUISITION CORP,2004-01-13,25,nan,1998781,8,1998781,2003-10-15,2004-04-12,0,0,0
AGARWAL ATUL,ACHILLION PHARMACEUTICALS INC,2016-03-11,26,nan,1691082,9,1691082,2015-12-12,2016-06-09,0,0,0
AGGARWAL AMIT,GROUPON INC,2014-01-30,25,nan,1490281,10,1490281,2013-11-01,2014-04-30,2,1,1
AGILENT TECHNOLOGIES INC,AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD,2005-12-01,27,1090872,nan,11,1090872,2005-09-02,2006-03-01,0,0,0
AHN JOONKUI,LG ELECTRONICS INC,2013-02-28,27,nan,2058873,12,2058873,2012-11-30,2013-05-29,0,0,0
AIR PRODUCTS AND CHEMICALS INC,EVONIK DEGUSSA GMBH,2017-01-03,47,2969,nan,13,2969,2016-10-05,2017-04-03,2,0,0
AKANA JODY,APPLE INC,2014-12-10,21,nan,320193,14,320193,2014-09-11,2015-03-10,0,0,0
AKANA JODY,APPLE INC,2015-01-21,33,nan,320193,15,320193,2014-10-23,2015-04-21,0,0,0
