or_name,ee_name,deal_date,n_patents,seller_cik,buyer_cik,deal_id,filer_cik,sec_start,sec_end,sec_exhibit_count,sec_any_price,sec_any_patent_asset_sale,sec_best_doc_class,sec_best_cik,sec_best_accession,sec_best_document,sec_best_description,sec_best_sec_url,sec_best_transaction_type,sec_best_price_scope,sec_best_price_kind,sec_best_is_patent_asset_sale,sec_best_price_disclosed,sec_best_price_value,sec_best_currency,sec_best_price_raw,sec_best_price_sentence,sec_best_price_unit,sec_best_patent_sale_sentence,sec_best_notes,sec_best_cik_url,sec_best_acc_url,sec_best_cik_norm,sec_best_accession_norm,sec_best_match_rule,sec_best_sec_any_price,sec_best_sec_any_patent_asset_sale,sec_best_type_prio,sec_best_has_sentence,sec_best_sent_len
A9COM INC,AMAZON TECHNOLOGIES INC,2020-04-22,30,nan,1321834,0,1321834,2020-01-23,2020-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBOTT LABORATORIES,ABBOTT DIABETES CARE INC,2014-08-18,36,1800,nan,1,1800,2014-05-20,2014-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBOTT LABORATORIES,ABBVIE INC,2012-08-01,140,1800,1551152,2,1800,2012-05-03,2012-10-30,2.0,1.0,1.0,likely_m&a_or_asset,1800.0,110465914077769.0,a14-19718_1ex2d1.htm,EX-2.1,https://www.sec.gov/Archives/edgar/data/1800/000110465914077769/a14-19718_1ex2d1.htm,merger_equity,entire_firm,per_share_consideration,1.0,1.0,0.5,USD,$0.50,"If the Final Modified Working Capital is greater than $500,000,000, New Mylan shall pay to Abbott the amount of such excess by wire transfer of immediately available funds to an account 32 designated by Abbott in writing in United States Dollars within three (3) U.S.",per_share,TABLE OF CONTENTS Page ARTICLE 1 DEFINITIONS 2 1.1 Definitions 2 1.2 Glossary of Defined Terms 17 ARTICLE 2 BUSINESS TRANSFER; THE MERGER 22 2.1 Business Transfer 22 2.2 Exchange Agent 23 2.3 The Merger 23 2.4 Effective Time 23 2.5 Effects of the Merger 23 2.6 Governing Documents 24 2.7 Officers and Directors 24 2.8 Effect on Capital Stock 24 2.9 Exchange of Shares and Certificates 25 2.10 Mylan Stock Based Awards 27 2.11 Allocation 28 ARTICLE 3 CLOSING; CURRENT ASSETS 30 3.1 Closing Date 30 3.2 Closing Deliveries by Abbott 30 3.3 Closing Deliveries by the Mylan Parties 30 3.4 Modified Working Capital Determination and Adjustment 31 ARTICLE 4 REPRESENTATIONS AND WARRANTIES OF ABBOTT 33 4.1 Organization 33 4.2 Acquired Companies: Capitalization and Ownership; Subsidiaries 33 4.3 Authorizati,Price relates to merger/equity consideration; IP is bundled.,1800,000110465914077769,1800,000110465914077769,cik+midpoint,1.0,1.0,3.0,1.0,267.0
ACTIVESEMI INTERNATIONAL INC,ACTIVESEMI INC,2009-05-01,43,105319,nan,3,105319,2009-01-31,2009-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADEST MEIR,SOLAREDGE TECHNOLOGIES LTD,2020-07-29,20,nan,1419612,4,1419612,2020-04-30,2020-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVANCED LIGHTING TECHNOLOGIES INC,PNC BANK NATIONAL ASSOCIATION AS AGENT,1999-05-21,27,1321834,nan,5,1321834,1999-02-20,1999-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVANCED MICRO DEVICES INC,SPANSION INC,2007-01-31,34,2488,nan,6,2488,2006-11-02,2007-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERAS,INTERNATIONAL AIDS VACCINE INITIATIVE INC,2018-10-01,22,nan,105319,7,105319,2018-07-03,2018-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AETHER SYSTEMS INC,TSYS ACQUISITION CORP,2004-01-13,25,nan,1998781,8,1998781,2003-10-15,2004-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGARWAL ATUL,ACHILLION PHARMACEUTICALS INC,2016-03-11,26,nan,1691082,9,1691082,2015-12-12,2016-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGGARWAL AMIT,GROUPON INC,2014-01-30,25,nan,1490281,10,1490281,2013-11-01,2014-04-30,2.0,1.0,1.0,likely_m&a_or_asset,1490281.0,149028114000013.0,exhibit21-ideeliacquisitio.htm,AGREEMENT,https://www.sec.gov/Archives/edgar/data/1490281/000149028114000013/exhibit21-ideeliacquisitio.htm,merger_equity,entire_firm,total_consideration,1.0,1.0,0.0,USD,$0,"By: /s/ Jason Harinstein Name: Jason Harinstein Its: SVP [Signature Page to Agreement and Plan of Merger] List of Exhibits and Schedules EXHIBITS Exhibit A - Form of Certificate of Merger Exhibit B - Form of Letter of Transmittal Exhibit C - Form of Consent, Release and Stockholders’ Representative Agreement Exhibit D - Form of Escrow Agreement Schedule 2(a) - Defined Terms ""Aggregate Common Consideration"" means $9,351.",total,"Schedule 4(k) of the Disclosure Schedule contains an accurate and complete list, and the Company has delivered to Purchaser accurate and complete copies of, each of the following written or oral contracts, agreements, instruments, leases, subleases, licenses, deeds, mortgages, purchase orders, commitments, arrangements or undertakings (collectively, the "" Contracts "") to which the Company is a party or otherwise bound that is currently in effect and that relates to the assets or operation of the Company's as currently conducted: (i) each Contract pursuant to which the Company has acquired a business or entity, or assets of a business or entity, whether by way of merger, consolidation, purchase of stock, purchase of assets or otherwise, or any Contract pursuant to which the Company has any ",Price relates to merger/equity consideration; IP is bundled.,1490281,000149028114000013,1490281,000149028114000013,cik+midpoint,1.0,1.0,3.0,1.0,423.0
AGILENT TECHNOLOGIES INC,AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD,2005-12-01,27,1090872,nan,11,1090872,2005-09-02,2006-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHN JOONKUI,LG ELECTRONICS INC,2013-02-28,27,nan,2058873,12,2058873,2012-11-30,2013-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR PRODUCTS AND CHEMICALS INC,EVONIK DEGUSSA GMBH,2017-01-03,47,2969,nan,13,2969,2016-10-05,2017-04-03,2.0,0.0,0.0,likely_m&a_or_asset,2969.0,119312516731580.0,d184846dex21.htm,EX-2.1,https://www.sec.gov/Archives/edgar/data/2969/000119312516731580/d184846dex21.htm,financing,financing_securities,,0.0,0.0,,,,,,"Dated as of September 29, 2016 TABLE OF CONTENTS Page Article I DEFINITIONS AND INTERPRETATION Section 1.1 General 2 Section 1.2 References; Interpretation 18 Article II THE SEPARATION Section 2.1 General 19 Section 2.2 Restructuring: Transfer of Assets; Assumption of Liabilities 19 Section 2.3 Treatment of Shared Contracts 20 Section 2.4 Intercompany Accounts, Loans and Agreements 21 Section 2.5 Limitation of Liability; Intercompany Contracts 22 Section 2.6 Transfers Not Effected at or Prior to the Separation Time; Transfers Deemed Effective as of the Separation Time 22 Section 2.7 Conveyance and Assumption Instruments 24 Section 2.8 Further Assurances; Ancillary Agreements 25 Section 2.9 Novation of Liabilities; Indemnification 26 Section 2.10 Guarantees; Credit Support Instruments 27 Se",No explicit consideration sentence found in text. [Dropped: financing],2969,000119312516731580,2969,000119312516731580,cik+midpoint,0.0,0.0,9.0,0.0,0.0
AKANA JODY,APPLE INC,2014-12-10,21,nan,320193,14,320193,2014-09-11,2015-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKANA JODY,APPLE INC,2015-01-21,33,nan,320193,15,320193,2014-10-23,2015-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKANA JODY,APPLE INC,2020-06-29,20,nan,320193,16,320193,2020-03-31,2020-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKRION INC,AKRION TECHNOLOGIES INC,2005-01-25,24,nan,1964979,17,1964979,2004-10-27,2005-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALCES TECHNOLOGY INC,MANTISVISION LTD,2018-04-06,29,1779474,nan,18,1779474,2018-01-06,2018-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDEN DON,PELIKAN TECHNOLOGIES INC,2003-02-13,21,nan,1321834,19,1321834,2002-11-15,2003-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALETTY ASHOK,BEA SYSTEMS INC,2005-07-25,25,nan,1352010,20,1352010,2005-04-26,2005-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDROV NICKOLAI,CERES INC,2006-05-03,23,nan,14707,21,14707,2006-02-02,2006-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALHUSSIEN ABDELHAKIM S,MICRON TECHNOLOGY INC,2020-08-11,26,nan,723125,22,723125,2020-05-13,2020-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIBABA GROUP HOLDING LIMITED,ADVANTAGEOUS NEW TECHNOLOGIES CO LTD,2020-08-26,298,1577552,nan,23,1577552,2020-05-28,2020-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNYLAM PHARMACEUTICALS INC,TEKMIRA PHARMACEUTICALS CORPORATION,2012-12-05,38,1178670,nan,24,1178670,2012-09-06,2013-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTUS TECHNOLOGY INC,HON HAI PRECISION INDUSTRY CO LTD,2012-09-28,22,1962746,nan,25,1962746,2012-06-30,2012-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALVEOLUS INC,MERIT MEDICAL SYSTEMS INC,2009-03-10,30,nan,856982,26,856982,2008-12-10,2009-06-08,2.0,1.0,1.0,likely_m&a_or_asset,856982.0,110465909037246.0,a09-14989_1ex2d1.htm,EX-2.1,https://www.sec.gov/Archives/edgar/data/856982/000110465909037246/a09-14989_1ex2d1.htm,asset_sale_with_ip,business_unit,total_consideration,1.0,1.0,21000000.0,USD,"$21,000,000","Subject to the terms and conditions of this Agreement, including, without limitation, the provisions of Section 2(d) below, as total consideration for the Acquired Assets, Buyer shall pay Seller an aggregate of Twenty-One Million Dollars ($21,000,000) (the “Purchase Price”), as follows: (i) (A) Buyer shall deliver to Seller at the Closing, by wire transfer in accordance with Seller’s wiring instructions, Fourteen Million Dollars ($14,000,000) less the escrowed amounts held pursuant to the Escrow Agreement among Buyer, Seller and Zions First National Bank, as escrow agent (“Zions”), and (B) Zions shall deliver to Seller at Closing, by wire transfer in accordance with Seller’s wiring instructions, all escrowed amounts held pursuant to such Escrow Agreement; and (ii) Buyer shall pay to Seller",total,"Representations and Warranties of Sellers 6 (a) Organization of Seller 6 (b) Authorization of Transaction 6 (c) Noncontravention 7 (d) Title to Assets; Sufficiency of Assets 7 (e) No Adverse Change 7 (f) Legal Compliance 7 (g) Intellectual Property 8 (h) Environmental, Health, and Safety Matters 10 (i) Contracts 11 (j) Litigation 12 (k) Product Warranty 12 (l) Product Liability 12 (m) Customers and Suppliers 12 (n) Pre-Closing Representations 12 (o) Broker Fees 13 (p) Disclaimer 13 4.",Price relates to asset/business acquisition that includes IP/patents.,856982,000110465909037246,856982,000110465909037246,cik+midpoint,1.0,1.0,2.0,1.0,800.0
AMAZONCOM INC,A9COM INC,2004-08-10,20,1018724,nan,27,1018724,2004-05-12,2004-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,III HOLDINGS 1 LLC,2014-03-24,81,4962,nan,28,4962,2013-12-24,2014-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,XATRA FUND MX LLC,2007-10-17,26,4962,nan,29,4962,2007-07-19,2008-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN MEDICAL SYSTEMS INC,AMS RESEARCH CORPORATION,2003-07-14,21,856982,nan,30,856982,2003-04-15,2003-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
