permno,cik
10001,0000043350
10006,0000910627
10010,0000719073
10012,0000784770
10016,0000720032
10025,0000785787
10026,0000785956
10032,0000785786
10039,0000782995
10051,0000722723
10057,0000869676
10062,0000106752
10070,0000785790
10078,0000709519
10079,0000788306
10083,0000716214
10087,0000788330
10089,0000710807
10092,0000058592
10095,0000730358
10098,0000768121
10103,0000002134
10104,0001341439
10107,0000789019
10108,0000789388
10116,0000786947
10128,0000718660
10133,0000789754
10136,0000789869
10137,0000003673
10138,0001113169
10140,0000712964
10142,0000730045
10143,0000729922
10145,0000773840
10147,0000790070
10152,0000770034
10153,0000003982
10154,0000004911
10161,0000004363
10162,0000002638
10163,0000790818
10178,0000790706
10180,0000003116
10185,0000790406
10189,0000002668
10190,0000789990
10193,0000892072
10200,0000730272
10211,0000813461
10212,0000748618
10216,0000721176
10218,0000319126
10220,0001486957
10225,0000789073
10233,0000897584
10241,0001475922
10244,0000763950
10248,0000791243
10253,0000771999
10258,0000744218
10259,0000790715
10272,0000790705
10274,0000792183
10278,0000790159
10279,0000731336
10289,0000811317
10298,0000762831
10299,0000791907
10302,0000791915
10318,0000009326
10320,0000741443
10321,0000005496
10324,0000732485
10328,0000791925
10333,0000791908
10342,0000109831
10344,0000791726
10353,0000709804
10354,0000779314
10363,0000792977
10364,0000007649
10371,0000793279
10372,0000836102
10375,0000019612
10379,0000720744
10382,0000792987
10383,0000725058
10390,0000791398
10393,0000892432
10398,0000793604
10401,0000005907
10405,0000772337
10410,0000793613
10412,0000766738
10414,0000793575
10419,0000785321
10420,0000792984
10422,0000712425
10424,0000793369
10432,0000793592
10434,0000793937
10439,0000787912
10441,0000721080
10446,0000793982
10450,0000793771
10453,0000814856
10456,0000793933
10460,0001037868
10462,0001011134
10463,0000793524
10479,0000807711
10482,0000710118
10487,0000006216
10488,0000008855
10493,0000780068
10499,0000794270
10501,0000794619
10504,0000795182
10512,0000793160
10513,0000786557
10514,0000795212
10515,0000795579
10516,0000007084
10527,0000795425
10528,0000870764
10530,0000794172
10531,0000795665
10537,0000794627
10545,0000795986
10547,0000796505
10548,0000771287
10550,0000788920
10555,0000715247
10560,0001039778
10574,0000821616
10586,0000796577
10597,0000356841
10604,0000775483
10606,0000795403
10622,0000796502
10640,0000050346
10643,0000075748
10644,0000795551
10645,0000798081
10656,0000002034
10658,0000793523
10661,0000768408
10662,0000797394
10664,0000002062
10667,0001340786
10672,0000002075
10674,0000791994
10685,0000799903
10688,0000797564
10691,0000799089
10696,0000798354
10705,0000798166
10713,0000727737
10714,0000798044
10718,0000826330
10721,0000797975
10731,0000027082
10733,0000799028
10735,0000093146
10737,0000798289
10738,0000767965
10743,0000011027
10745,0000797315
10751,0000011234
10752,0000313798
10761,0000799515
10765,0000743653
10779,0000002186
10785,0000800460
10786,0000011860
10791,0000802301
10795,0000730347
10800,0000802492
10808,0000002308
10820,0000799229
10828,0000801128
10838,0000799698
10844,0000800041
10847,0000802354
10848,0001386966
10853,0000800458
10856,0000822664
10860,0001116463
10861,0000803028
10863,0000801448
10866,0000014707
10874,0000014930
10886,0000029332
10888,0000803498
10889,0000753601
10890,0000746838
10891,0000002463
10909,0000804753
10914,0000804742
10924,0000764858
10927,0000795611
10928,0000779733
10933,0001096343
10935,0000805268
10942,0000803014
10953,0000806002
10964,0000806173
10965,0000756768
10966,0000805928
10967,0000792397
10969,0000354827
10980,0000805645
10984,0000804073
10986,0000707511
10994,0000744962
10996,0000804840
10998,0000736970
11000,0000806086
11004,0000822419
11010,0000002590
11017,0000016455
11020,0000806388
11028,0000803266
11035,0000807903
11037,0000806089
11038,0000752431
11041,0000016875
11042,0000723527
11043,0000806517
11048,0000805012
11058,0000726570
11071,0000822935
11077,0000351483
11081,0001571996
11087,0000731446
11088,0000743029
11089,0000808338
11105,0000018968
11119,0000806637
11122,0000722567
11127,0000760461
11128,0000809796
11132,0000780127
11133,0000793785
11138,0000806168
11141,0000803349
11142,0000808305
11144,0000005981
11149,0000729647
11153,0000806172
11154,0000810136
11157,0000109471
11164,0000019863
11167,0000820608
11183,0000708250
11184,0000061425
11192,0000811210
11194,0000810876
11197,0000823927
11198,0000061442
11212,0000810818
11219,0000880430
11221,0000811243
11225,0000846814
11257,0000810130
11260,0000791269
11265,0000811432
11275,0000704440
11276,0000811515
11277,0000811640
11278,0000811696
11283,0000811716
11291,0000811930
11292,0000811641
11295,0001064974
11296,0000002929
11298,0000811120
11306,0000771729
11308,0000021344
11313,0000806842
11326,0000806566
11331,0000811798
11332,0000201493
11339,0000795571
11340,0000022099
11345,0000799290
11346,0000812444
11347,0000812703
11352,0000812544
11353,0000812076
11354,0000802227
11357,0000700998
11362,0000807397
11365,0001689437
11368,0000353184
11373,0000790375
11374,0000809060
11378,0000812701
11379,0000813298
11381,0000812491
11384,0000812708
11386,0000780603
11393,0000813619
11394,0000811212
11401,0000812927
11403,0000813672
11404,0001047862
11409,0000813740
11411,0000814258
11415,0000010081
11416,0000814037
11422,0000813656
11424,0000814059
11425,0000813471
11426,0000742550
11434,0000805528
11438,0000812083
11450,0000813742
11452,0000810665
11456,0000098618
11459,0000812882
11460,0000808015
11465,0000813895
11468,0000785970
11480,0000814500
11483,0000814580
11485,0000813810
11486,0000791440
11492,0000814273
11511,0000814676
11515,0000356598
11522,0000813902
11523,0000811565
11525,0000814248
11526,0000759594
11531,0000706015
11532,0000815273
11533,0000814547
11538,0000217165
11539,0000804312
11547,0000816956
11549,0000816762
11552,0000816284
11553,0000815757
11556,0000814057
11559,0000814180
11573,0000810613
11580,0000816954
11581,0000006955
11587,0000701288
11590,0000814427
11599,0000813621
11600,0000818479
11601,0000352747
11605,0000799570
11607,0000026780
11624,0000708484
11626,0000818687
11630,0000818674
11631,0000027539
11636,0000818033
11638,0000819220
11641,0000816159
11654,0000787253
11662,0000818815
11664,0001386278
11669,0000812186
11674,0000936340
11678,0000819706
11684,0000866701
11688,0000799874
11689,0000764843
11691,0000003453
11692,0000734194
11703,0000030554
11707,0000820081
11727,0000818470
11728,0000799268
11731,0000819793
11739,0000708717
11752,0000820318
11754,0000031235
11757,0000820242
11761,0000749420
11763,0000003535
11767,0000820413
11768,0000820773
11773,0000821509
11775,0000788329
11779,0000819840
11781,0000820738
11785,0000824046
11786,0000719739
11794,0000717751
11796,0000820526
11803,0000807863
11809,0000822818
11810,0000804330
11819,0000784721
11821,0000805791
11822,0000807359
11824,0000777513
11825,0000768411
11828,0000765353
11840,0000789547
11845,0000806968
11850,0000034088
11851,0000003753
11853,0000821361
11860,0000041980
11861,0000826619
11864,0000789847
11872,0000824166
11874,0000831327
11888,0001651347
11891,0000789570
11895,0000829549
11896,0000743316
11898,0000823560
11899,0000819939
11903,0000820097
11910,0000805054
11913,0000792723
11917,0000832767
11923,0000003952
11927,0000780434
11932,0000828750
11933,0000737955
11955,0000823768
11959,0000738633
11960,0000710884
11968,0000776873
11970,0000835910
11976,0000835729
11981,0000351116
11983,0000714655
11995,0000317540
11998,0000831861
12002,0000703598
12005,0000027116
12006,0000835015
12009,0001481792
12010,0000712843
12011,0001327471
12017,0001410428
12022,0000833076
12024,0000700945
12026,0001305294
12027,0001489147
12036,0000040211
12037,0000004107
12042,0000785022
12044,0000026093
12048,0000749510
12051,0001488075
12052,0000040533
12058,0000068813
12060,0000040545
12062,0000920148
12063,0000755806
12067,0000836106
12072,0000729237
12078,0001488917
12079,0001467858
12084,0001413447
12085,0001375200
12087,0000040796
12089,0001286225
12090,0001356857
12095,0000088205
12099,0000821538
12114,0000819028
12117,0001122965
12118,0000823876
12122,0000826253
12131,0000842679
12140,0000042542
12141,0000004206
12149,0000821995
12155,0000731241
12157,0000836809
12171,0000839087
12174,0000837913
12178,0000109870
12196,0000821243
12198,0000842396
12205,0000741339
12211,0000836157
12214,0000802851
12217,0000778734
12226,0000835011
12233,0000216810
12236,0000815838
12250,0000807605
12252,0000782126
12259,0000724991
12260,0000724941
12261,0000798534
12265,0000837991
12266,0000704562
12267,0000768914
12269,0000838877
12278,0000108140
12284,0000719322
12285,0000840887
12307,0001365916
12308,0001091667
12319,0000743872
12320,0000027425
12328,0000004410
12350,0001499961
12360,0001299130
12369,0001467858
12374,0001160958
12392,0001411158
12398,0001361103
12399,0001489161
12402,0001365101
12405,0001502916
12411,0001447028
12413,0001375151
12431,0001466258
12458,0001481582
12488,0001333822
12490,0000051143
12496,0001171012
12497,0001426800
12499,0001289814
12503,0000808450
12507,0001490412
12511,0000051396
12521,0001365038
12527,0001420720
12542,0001492633
12546,0000049996
12559,0001227025
12570,0000216228
12573,0001427925
12574,0001407038
12575,0001235007
12576,0001096738
12577,0001162194
12579,0001392380
12580,0001460198
12582,0001204413
12583,0001396814
12587,0001492658
12588,0001073429
12592,0001453593
12623,0001501585
12626,0001705260
12629,0001325702
12640,0001310114
12645,0001122388
12667,0001138776
12680,0001383395
12693,0001504619
12698,0001274644
12699,0001508475
12706,0000055247
12719,0001163932
12742,0001271024
12746,0001509986
12749,0001310067
12766,0000352281
12781,0001126956
12784,0001434589
12787,0001392522
12789,0001411906
12792,0001512077
12795,0001509432
12797,0001311230
12798,0001169988
12837,0000887021
12865,0001383729
12872,0001510295
12873,0001230276
12877,0001006837
12881,0001081078
12886,0001438569
12887,0001418862
12888,0000060195
12890,0001512717
12891,0001518419
12894,0001615817
12912,0001498403
12918,0000005009
12922,0001423542
12924,0001182325
12927,0001617640
12959,0001047919
12960,0001340127
12976,0000061300
12982,0001341335
13012,0000061946
13018,0001524471
13038,0001158399
13046,0001511737
13047,0000101778
13049,0001415336
13056,0000005133
13063,0000062225
13080,0001364962
13081,0001294924
13084,0001524223
13100,0000063416
13103,0001521332
13107,0001466301
13108,0001490281
13109,0001311241
13111,0001126234
13112,0001216596
13119,0000063541
13159,0001429260
13160,0001462633
13167,0001347613
13168,0001526520
13169,0001439404
13179,0000276298
13180,0001285786
13181,0001528396
13201,0001463258
13202,0001526119
13216,0000005320
13222,0001529979
13249,0001443669
13255,0001528903
13260,0001313275
13261,0001330421
13262,0001340652
13263,0001461993
13264,0000767884
13279,0001506492
13280,0001408278
13284,0001411207
13290,0000069067
13291,0000036127
13292,0001301031
13298,0001372375
13303,0000072162
13304,0001318060
13314,0001533932
13316,0001129260
13318,0001345016
13321,0001504379
13323,0001463101
13324,0001133416
13325,0001274792
13326,0001493594
13327,0001173293
13328,0001493761
13329,0001117733
13337,0001401257
13340,0001432150
13342,0001223862
13354,0000070047
13356,0001534701
13367,0001535031
13369,0001434524
13374,0001174266
13376,0001506184
13377,0001212458
13379,0001353283
13402,0001201663
13406,0001544175
13407,0001326801
13409,0001512074
13410,0001356576
13411,0001213037
13447,0001373715
13452,0001530804
13453,0001092662
13454,0000890264
13511,0001327567
13521,0001236997
13522,0000702165
13531,0000005549
13533,0001386858
13543,0001237831
13556,0001353487
13560,0000880177
13586,0000077360
13597,0001597131
13598,0001545158
13599,0000849146
13600,0001107843
13604,0001378992
13610,0000074303
13625,0001549346
13628,0001327811
13634,0001280263
13643,0001270073
13644,0001436304
13648,0001251769
13652,0001505512
13658,0001177845
13661,0000812074
13688,0001004980
13689,0000225255
13690,0001294016
13693,0001488039
13705,0001362925
13707,0001553846
13708,0001046859
13711,0001408356
13721,0001551152
13734,0000005796
13750,0001444192
13755,0001293310
13759,0001168197
13761,0001264587
13766,0001328581
13786,0000868675
13788,0001555280
13793,0000314202
13798,0001176309
13799,0001561627
13800,0001315657
13812,0001389002
13816,0001118417
13819,0001180079
13825,0001177648
13829,0001373707
13830,0001024657
13844,0001433607
13856,0000077476
13858,0001313911
13861,0001547063
13863,0000025743
13866,0001525773
13870,0001117480
13875,0001411488
13878,0001376339
13883,0001544227
13890,0001169652
13891,0001391636
13901,0000764180
13914,0001303652
13918,0001768224
13920,0001131543
13924,0001571498
13926,0001351288
13928,0001163165
13930,0001567529
13932,0001490660
13933,0001566844
13936,0000078239
13939,0001137091
13940,0001269021
13942,0001463729
13946,0001550935
13947,0001293971
13953,0000006009
13956,0001537054
13961,0000723198
13962,0001401708
13965,0001173281
13966,0001509190
13967,0001070081
13977,0001534287
13980,0000020972
13983,0001024305
13992,0001484504
14005,0001565337
14006,0001375796
14008,0000318154
14024,0000215101
14040,0000101830
14044,0001439222
14046,0001383701
14054,0001576263
14055,0001302573
14056,0001130598
14059,0000741559
14060,0001565228
14072,0001356090
14087,0001415624
14089,0001575828
14090,0000082286
14095,0001259515
14097,0001424929
14099,0001441693
14104,0000723441
14105,0001563855
14133,0001379006
14136,0001384905
14141,0001571123
14143,0001407190
14144,0001567094
14145,0001158114
14148,0001385228
14157,0001578809
14158,0001403708
14159,0001370880
14160,0001488613
14161,0001175505
14164,0001477200
14167,0001410939
14173,0001579252
14176,0001280600
14185,0001320461
14198,0000006284
14218,0000847903
14219,0000006292
14227,0000006314
14231,0001393052
14232,0001582581
14238,0001337553
14240,0001576427
14245,0001434316
14252,0001575965
14257,0001125345
14262,0000850261
14263,0001384101
14271,0001348334
14272,0001536196
14273,0001364954
14276,0000031235
14277,0000087347
14286,0000006383
14290,0001361470
14295,0001418091
14297,0001579241
14300,0001574565
14305,0001327467
14306,0000088190
14313,0001507957
14315,0000726637
14316,0001503802
14321,0001416792
14322,0000319256
14323,0000317093
14325,0001438133
14331,0000352425
14340,0001452751
14351,0001556884
14352,0001561743
14356,0001361248
14357,0000089629
14358,0001431959
14359,0001326732
14374,0000724705
14382,0000801973
14401,0001587732
14402,0001014022
14419,0001321834
14422,0001346830
14423,0001305253
14426,0001399529
14431,0001253689
14432,0001567514
14434,0001590976
14436,0001515673
14440,0001438533
14442,0001429560
14444,0001269026
14447,0001105533
14448,0001454189
14449,0001044378
14451,0001367920
14452,0001485003
14455,0001586105
14456,0000827871
14457,0001419600
14458,0001457612
14459,0001294133
14463,0001004945
14467,0001479290
14468,0001533040
14472,0001361113
14487,0001587523
14495,0001580808
14496,0000732639
14497,0001388320
14498,0001372414
14502,0001433714
14504,0001115128
14522,0001580345
14525,0000092879
14526,0000006845
14530,0001301501
14531,0001517022
14533,0000353001
14536,0001133818
14541,0000093410
14545,0001535955
14546,0001593984
14548,0001289636
14550,0001588972
14551,0001574235
14552,0001557421
14556,0001575793
14558,0000040729
14567,0001594109
14580,0001595974
14589,0001328143
14590,0001592016
14592,0000094130
14593,0000320193
14594,0001594337
14596,0001288847
14603,0001069899
14612,0001432732
14614,0000714277
14615,0001280776
14622,0000719545
14638,0001594686
14641,0001463172
14645,0001261249
14646,0001423824
14647,0001341235
14656,0000095304
14667,0001579910
14668,0001178253
14669,0001585854
14675,0001537435
14676,0001597095
14677,0001327318
14688,0001297184
14690,0001437402
14691,0001042074
14694,0001500435
14697,0001470099
14702,0000006951
14705,0001091223
14707,0001428522
14708,0001590750
14711,0001374690
14712,0001459266
14714,0001596532
14715,0001145986
14723,0001328015
14729,0000312258
14736,0000097349
14737,0000311882
14759,0001604028
14763,0001596783
14774,0001478121
14776,0001601712
14777,0001604522
14782,0001371285
14785,0001557860
14786,0001609804
14790,0001501756
14791,0001591956
14795,0000098362
14797,0001217234
14801,0001245104
14805,0001437786
14807,0001325618
14809,0000352991
14813,0001507605
14814,0001606012
14815,0001267813
14816,0000098677
14818,0001582982
14820,0001402479
14822,0001598646
14823,0001393434
14826,0001596812
14828,0001597553
14833,0000731655
14834,0001449278
14836,0001271214
14859,0000356364
14862,0001279704
14868,0000225051
14871,0001581720
14874,0001493566
14879,0001492674
14880,0001368993
14883,0000100783
14888,0001577552
14889,0000759944
14891,0000716039
14905,0000201131
14912,0000100968
14918,0001424755
14923,0001608390
14924,0001600620
14925,0001137883
14926,0001609702
14927,0001478069
14928,0001598110
14929,0001566044
14934,0001566826
14935,0001612940
14936,0001607962
14937,0001404281
14938,0001157602
14939,0001601046
14950,0001572552
14955,0000101063
14970,0001404655
14973,0001161814
14982,0001607716
14983,0001616707
14987,0001605484
14991,0001604464
14995,0001496671
15002,0001613780
15003,0001557883
15010,0001512138
15015,0001359931
15016,0001551693
15024,0001161315
15035,0000700612
15046,0001444380
15053,0001616862
15056,0001368514
15057,0000744452
15058,0001484565
15059,0001512762
15062,0001266806
15064,0001413837
15065,0000921299
15069,0000101778
15074,0001598696
15077,0000811669
15079,0001613859
15087,0001505155
15088,0001614436
15089,0001582313
15092,0001409970
15108,0001448056
15117,0000726513
15119,0001445305
15123,0000007580
15125,0001358403
15127,0001175151
15128,0001610532
15131,0000718044
15132,0001372299
15137,0001616212
15145,0001372612
15168,0001616318
15171,0001612042
15172,0001506928
15176,0001374128
15177,0001615219
15184,0001394319
15186,0001463972
15187,0001587221
15198,0001501134
15202,0001396009
15203,0000007623
15221,0001281895
15222,0001425205
15226,0001304492
15238,0000799368
15254,0000319458
15263,0001611231
15264,0001621563
15268,0001610590
15269,0001627281
15272,0001419612
15274,0001599298
15276,0001619087
15282,0001435049
15283,0001324772
15284,0001597264
15285,0001348911
15286,0001610618
15291,0001370637
15294,0001434647
15295,0001625791
15303,0001607678
15305,0001626878
15315,0001609711
15318,0000007789
15325,0000106374
15344,0001528557
15351,0001590364
15358,0001594805
15368,0000106413
15371,0001267565
15373,0001421876
15374,0001169987
15378,0001339970
15379,0001618500
15380,0001444307
15381,0001293818
15382,0001469443
15390,0001447599
15395,0001632127
15398,0001627223
15399,0001637655
15407,0001637761
15409,0001459200
15410,0001433195
15417,0001435064
15420,0001532079
15425,0001627606
15428,0001393020
15429,0001521036
15430,0001458962
15431,0001609809
15432,0001626199
15433,0001583648
15436,0001460702
15443,0001504167
15454,0001192448
15456,0000850209
15457,0000008063
15465,0000008065
15472,0000108601
15473,0000721701
15485,0001322554
15491,0000882291
15493,0001621832
15496,0001305773
15502,0000008109
15506,0001124524
15507,0001290149
15508,0001633932
15510,0001372514
15525,0001635282
15530,0001638290
15531,0001467652
15533,0001326110
15534,0001604821
15537,0000008146
15541,0001560327
15542,0001641489
15553,0001004155
15560,0000096289
15579,0000097476
15582,0001327688
15585,0001477449
15590,0001617669
15630,0001631650
15631,0001808898
15638,0001629137
15639,0001643953
15642,0001638381
15643,0001469367
15646,0001621443
15647,0001641991
15658,0001590877
15659,0000100790
15665,0001461119
15667,0000005187
15676,0000008254
15694,0001321732
15707,0001645590
15720,0000827052
15721,0000008411
15729,0001474432
15735,0001648416
15747,0000790929
15748,0000723639
15763,0000006091
15772,0000701340
15775,0001557746
15776,0001314052
15779,0001501989
15784,0001472091
15786,0001395848
15787,0001527599
15788,0001552451
15789,0001645113
15791,0001650575
15820,0000278048
15826,0001512673
15828,0000350067
15831,0001579428
15833,0001534120
15836,0000008617
15847,0001422143
15848,0001345099
15856,0001640266
15857,0001631574
15858,0001122051
15859,0001634997
15902,0001640384
15909,0001650372
15914,0001425287
15917,0001644440
15932,0000702891
15936,0001651308
15937,0001650664
15950,0001445283
15955,0001648893
15960,0001626971
15966,0000067182
15974,0000005818
15975,0000008759
15976,0001395937
15978,0001597313
15991,0000718007
16007,0001386570
16011,0000277161
16020,0001468666
16029,0000028691
16051,0001651235
16053,0001068049
16062,0001651311
16064,0001652130
16066,0001625101
16067,0001429386
16068,0001358762
16069,0001566373
16070,0001411685
16076,0001600438
16088,0000106690
16090,0001539029
16099,0001659617
16100,0001566469
16104,0001649989
16108,0001453687
16109,0000040601
16111,0001556263
16117,0000715969
