deal_id,filer_cik10,sec_start,sec_end,form,filing_date,accession,primary_doc,kw_hit,kw_n,kw_list,status
0,1321834,2020-01-23,2020-07-21,8-K,2020-01-31,0001493152-20-001457,form8-k.htm,1,1,ip ,ok
0,1321834,2020-01-23,2020-07-21,8-K,2020-03-24,0001493152-20-004577,form8-k.htm,1,2,ip |consideration,ok
0,1321834,2020-01-23,2020-07-21,10-K,2020-03-25,0001493152-20-004650,form10-k.htm,1,7,patent|intellectual property|ip |purchase price|consideration|technology|assignment,ok
0,1321834,2020-01-23,2020-07-21,8-K,2020-04-07,0001493152-20-005958,form8-k.htm,1,1,ip ,ok
0,1321834,2020-01-23,2020-07-21,8-K,2020-04-08,0001493152-20-006035,form8-k.htm,1,1,ip ,ok
0,1321834,2020-01-23,2020-07-21,8-K,2020-04-14,0001493152-20-006318,form8-k.htm,1,1,ip ,ok
0,1321834,2020-01-23,2020-07-21,8-K,2020-04-17,0001493152-20-006639,form8-k.htm,1,1,ip ,ok
0,1321834,2020-01-23,2020-07-21,8-K,2020-05-14,0001493152-20-008664,form8-k.htm,1,2,ip |consideration,ok
0,1321834,2020-01-23,2020-07-21,10-Q,2020-05-15,0001493152-20-009092,form10-q.htm,1,6,patent|intellectual property|ip |purchase price|consideration|technology,ok
0,1321834,2020-01-23,2020-07-21,8-K,2020-05-15,0001493152-20-008921,form8-k.htm,1,1,ip ,ok
0,1321834,2020-01-23,2020-07-21,8-K,2020-05-18,0001493152-20-009258,form8-k.htm,1,1,ip ,ok
0,1321834,2020-01-23,2020-07-21,8-K,2020-05-19,0001493152-20-009351,form8-k.htm,1,1,ip ,ok
0,1321834,2020-01-23,2020-07-21,8-K,2020-07-08,0001493152-20-012821,form8-k.htm,1,1,ip ,ok
0,1321834,2020-01-23,2020-07-21,8-K,2020-07-13,0001493152-20-013127,form8-k.htm,1,1,ip ,ok
1,1800,2014-05-20,2014-11-16,8-K,2014-07-14,0001104659-14-051292,a14-17107_18k.htm,1,2,ip |consideration,ok
1,1800,2014-05-20,2014-11-16,8-K,2014-07-16,0001104659-14-051733,a14-17164_18k.htm,1,1,ip ,ok
1,1800,2014-05-20,2014-11-16,10-Q,2014-08-05,0001104659-14-056950,a14-13985_110q.htm,1,6,patent|intellectual property|ip |purchase price|consideration|technology,ok
1,1800,2014-05-20,2014-11-16,8-K,2014-08-25,0001104659-14-062779,a14-19557_18k.htm,1,1,ip ,ok
1,1800,2014-05-20,2014-11-16,8-K,2014-09-26,0001104659-14-068420,a14-15772_28k.htm,1,1,ip ,ok
1,1800,2014-05-20,2014-11-16,8-K,2014-10-22,0001104659-14-072891,a14-22704_18k.htm,1,1,ip ,ok
1,1800,2014-05-20,2014-11-16,8-K,2014-10-22,0001104659-14-072877,a14-22704_28k.htm,1,1,ip ,ok
1,1800,2014-05-20,2014-11-16,10-Q,2014-11-06,0001104659-14-077769,a14-19718_110q.htm,1,5,intellectual property|ip |purchase price|consideration|technology,ok
2,1800,2012-05-03,2012-10-30,10-Q,2012-05-08,0001104659-12-034444,a12-7133_110q.htm,1,3,patent|consideration|technology,ok
2,1800,2012-05-03,2012-10-30,8-K,2012-07-13,0001104659-12-048933,a12-16334_18k.htm,1,1,ip ,ok
2,1800,2012-05-03,2012-10-30,8-K,2012-07-18,0001104659-12-049476,a12-16386_18k.htm,1,1,ip ,ok
2,1800,2012-05-03,2012-10-30,10-Q,2012-08-07,0001104659-12-055154,a12-13675_110q.htm,1,3,patent|consideration|technology,ok
2,1800,2012-05-03,2012-10-30,8-K,2012-10-17,0001104659-12-069508,a12-24280_18k.htm,1,1,ip ,ok
2,1800,2012-05-03,2012-10-30,8-K,2012-10-18,0001104659-12-069768,a12-24414_18k.htm,1,1,ip ,ok
3,105319,2009-01-31,2009-07-30,10-K,2009-03-04,0001193125-09-044912,d10k.htm,1,6,patent|intellectual property|ip |purchase price|consideration|technology,ok
3,105319,2009-01-31,2009-07-30,8-K,2009-03-04,0001193125-09-044883,d8k.htm,1,1,ip ,ok
3,105319,2009-01-31,2009-07-30,8-K,2009-05-07,0001193125-09-103510,d8k.htm,1,1,ip ,ok
3,105319,2009-01-31,2009-07-30,10-Q,2009-05-14,0001193125-09-111363,d10q.htm,1,5,intellectual property|ip |purchase price|consideration|technology,ok
3,105319,2009-01-31,2009-07-30,8-K,2009-07-01,0001193125-09-142048,d8k.htm,1,1,ip ,ok
4,1419612,2020-04-30,2020-10-27,8-K,2020-05-06,0001178913-20-001346,form8k.htm,1,1,ip ,ok
4,1419612,2020-04-30,2020-10-27,10-Q,2020-05-07,0001178913-20-001355,sedg10qq1-2020.htm,1,6,patent|intellectual property|ip |purchase price|consideration|technology,ok
4,1419612,2020-04-30,2020-10-27,8-K,2020-05-20,0001178913-20-001529,form8k.htm,1,1,ip ,ok
4,1419612,2020-04-30,2020-10-27,8-K,2020-08-03,0001178913-20-002219,form8k.htm,1,1,ip ,ok
4,1419612,2020-04-30,2020-10-27,10-Q,2020-08-06,0001178913-20-002282,sedg10-q0620.htm,1,5,patent|intellectual property|ip |consideration|technology,ok
4,1419612,2020-04-30,2020-10-27,8-K,2020-09-01,0001178913-20-002523,form8k.htm,1,1,ip ,ok
4,1419612,2020-04-30,2020-10-27,8-K,2020-09-22,0001104659-20-107397,tm2031160d3_8k.htm,1,1,ip ,ok
4,1419612,2020-04-30,2020-10-27,8-K,2020-09-23,0001104659-20-107798,tm2031160d4_8k.htm,1,1,ip ,ok
4,1419612,2020-04-30,2020-10-27,8-K,2020-09-25,0001104659-20-108901,tm2031160-6_8k.htm,1,2,ip |purchase price,ok
6,2488,2006-11-02,2007-05-01,10-Q,2006-11-09,0001193125-06-230604,d10q.htm,1,6,patent|intellectual property|ip |purchase price|consideration|technology,ok
6,2488,2006-11-02,2007-05-01,8-K,2006-11-21,0001193125-06-239966,d8k.htm,1,1,ip ,ok
6,2488,2006-11-02,2007-05-01,8-K,2006-12-01,0001193125-06-245126,d8k.htm,1,1,ip ,ok
6,2488,2006-11-02,2007-05-01,8-K,2006-12-14,0001193125-06-253199,d8k.htm,1,1,ip ,ok
6,2488,2006-11-02,2007-05-01,8-K,2006-12-20,0001193125-06-257028,d8k.htm,1,1,ip ,ok
6,2488,2006-11-02,2007-05-01,8-K,2006-12-27,0001193125-06-260492,d8k.htm,1,3,ip |technology|assignment,ok
6,2488,2006-11-02,2007-05-01,8-K,2006-12-28,0001193125-06-261004,d8k.htm,1,1,ip ,ok
6,2488,2006-11-02,2007-05-01,8-K,2007-01-23,0001193125-07-010956,d8k.htm,1,1,ip ,ok
6,2488,2006-11-02,2007-05-01,8-K,2007-02-14,0001193125-07-031520,d8k.htm,1,1,ip ,ok
6,2488,2006-11-02,2007-05-01,10-K,2007-03-01,0001193125-07-044191,d10k.htm,1,8,patent|intellectual property|ip |asset purchase|purchase price|consideration|technology|assignment,ok
6,2488,2006-11-02,2007-05-01,8-K,2007-04-09,0001193125-07-077064,d8k.htm,1,1,ip ,ok
6,2488,2006-11-02,2007-05-01,8-K,2007-04-19,0001193125-07-085240,d8k.htm,1,1,ip ,ok
6,2488,2006-11-02,2007-05-01,8-K,2007-04-23,0001193125-07-087794,d8k.htm,1,1,ip ,ok
6,2488,2006-11-02,2007-05-01,8-K,2007-04-24,0001193125-07-088325,d8k.htm,1,1,ip ,ok
6,2488,2006-11-02,2007-05-01,8-K,2007-04-30,0001193125-07-095893,d8k.htm,1,1,ip ,ok
7,105319,2018-07-03,2018-12-30,8-K,2018-08-06,0001193125-18-239734,d576572d8k.htm,1,1,ip ,ok
7,105319,2018-07-03,2018-12-30,10-Q,2018-08-07,0001564590-18-019632,wtw-10q_20180630.htm,1,6,patent|intellectual property|ip |purchase price|consideration|technology,ok
7,105319,2018-07-03,2018-12-30,8-K,2018-08-09,0001193125-18-244435,d568060d8k.htm,1,1,ip ,ok
7,105319,2018-07-03,2018-12-30,8-K,2018-10-01,0001193125-18-289640,d620960d8k.htm,1,1,ip ,ok
7,105319,2018-07-03,2018-12-30,8-K,2018-11-01,0001193125-18-315798,d647231d8k.htm,1,1,ip ,ok
