or_name,ee_name,deal_date,n_patents,seller_cik,buyer_cik
A9COM INC,AMAZON TECHNOLOGIES INC,2020-04-22,30,,1321834.0
ABBOTT LABORATORIES,ABBOTT DIABETES CARE INC,2014-08-18,36,1800.0,
ABBOTT LABORATORIES,ABBVIE INC,2012-08-01,140,1800.0,1551152.0
ACTIVESEMI INTERNATIONAL INC,ACTIVESEMI INC,2009-05-01,43,105319.0,
ADEST MEIR,SOLAREDGE TECHNOLOGIES LTD,2020-07-29,20,,1419612.0
ADVANCED LIGHTING TECHNOLOGIES INC,PNC BANK NATIONAL ASSOCIATION AS AGENT,1999-05-21,27,1321834.0,
ADVANCED MICRO DEVICES INC,SPANSION INC,2007-01-31,34,2488.0,
AERAS,INTERNATIONAL AIDS VACCINE INITIATIVE INC,2018-10-01,22,,105319.0
AETHER SYSTEMS INC,TSYS ACQUISITION CORP,2004-01-13,25,,1998781.0
AGARWAL ATUL,ACHILLION PHARMACEUTICALS INC,2016-03-11,26,,1691082.0
AGGARWAL AMIT,GROUPON INC,2014-01-30,25,,1490281.0
AGILENT TECHNOLOGIES INC,AVAGO TECHNOLOGIES GENERAL IP SINGAPORE PTE LTD,2005-12-01,27,1090872.0,
AHN JOONKUI,LG ELECTRONICS INC,2013-02-28,27,,2058873.0
AIR PRODUCTS AND CHEMICALS INC,EVONIK DEGUSSA GMBH,2017-01-03,47,2969.0,
AKANA JODY,APPLE INC,2014-12-10,21,,320193.0
AKANA JODY,APPLE INC,2015-01-21,33,,320193.0
AKANA JODY,APPLE INC,2020-06-29,20,,320193.0
AKRION INC,AKRION TECHNOLOGIES INC,2005-01-25,24,,1964979.0
ALCES TECHNOLOGY INC,MANTISVISION LTD,2018-04-06,29,1779474.0,
ALDEN DON,PELIKAN TECHNOLOGIES INC,2003-02-13,21,,1321834.0
ALETTY ASHOK,BEA SYSTEMS INC,2005-07-25,25,,1352010.0
ALEXANDROV NICKOLAI,CERES INC,2006-05-03,23,,14707.0
ALHUSSIEN ABDELHAKIM S,MICRON TECHNOLOGY INC,2020-08-11,26,,723125.0
ALIBABA GROUP HOLDING LIMITED,ADVANTAGEOUS NEW TECHNOLOGIES CO LTD,2020-08-26,298,1577552.0,
ALNYLAM PHARMACEUTICALS INC,TEKMIRA PHARMACEUTICALS CORPORATION,2012-12-05,38,1178670.0,
ALTUS TECHNOLOGY INC,HON HAI PRECISION INDUSTRY CO LTD,2012-09-28,22,1962746.0,
ALVEOLUS INC,MERIT MEDICAL SYSTEMS INC,2009-03-10,30,,856982.0
AMAZONCOM INC,A9COM INC,2004-08-10,20,1018724.0,
AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,III HOLDINGS 1 LLC,2014-03-24,81,4962.0,
AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,XATRA FUND MX LLC,2007-10-17,26,4962.0,
AMERICAN MEDICAL SYSTEMS INC,AMS RESEARCH CORPORATION,2003-07-14,21,856982.0,
AMINI PEIMAN,NETGEAR INC,2018-12-18,22,,1122904.0
