cik,accession,document,description,type,doc_class
51143,000095015713000398,form8k.htm,CURRENT REPORT,8-K,other
51143,000095015713000398,ex1.htm,"UNDERWRITING AGREEMENT DATED OCTOBER 31, 2013",EX-1,financing
51143,000095015713000398,ex2.htm,FORM OF 1.875% NOTE DUE 2020,EX-2,financing
51143,000095015713000398,ex3.htm,FORM OF 2.875% NOTE DUE 2025,EX-3,financing
51143,000095015713000398,0000950157-13-000398.txt,Complete submission text file,,other
51143,000110465917025881,a17-8917_110q.htm,10-Q,10-Q,other
51143,000110465917025881,a17-8917_1ex11.htm,EX-11,EX-11,other
51143,000110465917025881,a17-8917_1ex12.htm,EX-12,EX-12,other
51143,000110465917025881,a17-8917_1ex31d1.htm,EX-31.1,EX-31.1,other
51143,000110465917025881,a17-8917_1ex31d2.htm,EX-31.2,EX-31.2,other
51143,000110465917025881,a17-8917_1ex32d1.htm,EX-32.1,EX-32.1,other
51143,000110465917025881,a17-8917_1ex32d2.htm,EX-32.2,EX-32.2,other
51143,000110465917025881,0001104659-17-025881.txt,Complete submission text file,,other
51143,000110465917025881,ibm-20170331.xml,XBRL INSTANCE DOCUMENT,EX-101.INS,other
51143,000110465917025881,ibm-20170331.xsd,XBRL TAXONOMY EXTENSION SCHEMA DOCUMENT,EX-101.SCH,other
51143,000110465917025881,ibm-20170331_cal.xml,XBRL TAXONOMY EXTENSION CALCULATION LINKBASE DOCUMENT,EX-101.CAL,other
51143,000110465917025881,ibm-20170331_def.xml,XBRL TAXONOMY EXTENSION DEFINITION LINKBASE DOCUMENT,EX-101.DEF,other
51143,000110465917025881,ibm-20170331_lab.xml,XBRL TAXONOMY EXTENSION LABELS LINKBASE DOCUMENT,EX-101.LAB,other
51143,000110465917025881,ibm-20170331_pre.xml,XBRL TAXONOMY EXTENSION PRESENTATION LINKBASE DOCUMENT,EX-101.PRE,other
51143,000110465913030628,a13-10228_18k.htm,8-K,8-K,other
51143,000110465913030628,g102281bei001.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei002.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei003.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei004.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei005.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei006.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei007.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei008.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei009.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei010.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei011.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei012.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei013.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei014.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei015.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei016.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei017.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei018.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei019.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei020.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei021.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei022.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei023.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei024.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei025.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei026.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei027.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei028.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei029.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei030.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei031.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei032.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei033.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei034.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei035.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,0001104659-13-030628.txt,Complete submission text file,,other
51143,000110465914052018,a14-17121_18k.htm,8-K,8-K,other
